OPD Status,State,SourceName,Agency,AgencyFull,TableType,coverage_start,coverage_end,Year,Error,Date Outage Started,Last Outage Confirmation,Date Outage Ended,Date Last Contacted,Contact Details,source_url,URL,dataset_id
Deleted from OPD,New York,Buffalo,Buffalo,Buffalo Police Department,TRAFFIC ARRESTS,2020-06-25,2023-07-06,MULTIPLE,This dataset or view cannot be found or has been deleted,01/14/24,,,,,,https://data.buffalony.gov/Public_Safety/Uniform_Roadside_Appearance_Tickets/5kqt_m62h,
Deleted from OPD 06/21/2024,California,Alameda County,Alameda County,Alameda County Sheriff's Office,INCIDENTS,2012-01-01,2022-06-27,MULTIPLE,Token Required,01/20/24,02/04/24,,,,https://data.acgov.org/datasets/9e459776d4c3463cad52fe6003ffc668_0/about,,
Backup put on GitHub,Missouri,St. Louis County,St. Louis County,St. Louis County Police Department,USE OF FORCE,2016-10-24,2021-04-20,MULTIPLE,Page Not Found,02/01/24,02/18/24,,02/18/24,gis@stlouisco.com,https://data.stlouisco.com/documents/uses_of_force_2018_2021_ytd/about,https://www.arcgis.com/sharing/rest/content/items/9ba9c606ce9a486d98875442e600f861/data,
Backup put on GitHub,Michigan,Lansing,Lansing,Lansing Police Department,COMPLAINTS,2018-01-27,2023-02-14,MULTIPLE,,,,,,,https://data_lansing.opendata.arcgis.com/datasets/e7eb75c5e9d9490b809d08e4849b31d1_0/about,https://services1.arcgis.com/pNPbgWy7hpfFGWoZ/arcgis/rest/services/Lansing_MI_Police_Citizen_Complaints/FeatureServer/0,
Backup put on GitHub,Michigan,Lansing,Lansing,Lansing Police Department,OFFICER_INVOLVED SHOOTINGS,1970-01-22,2020-05-28,MULTIPLE,,,,,,,https://data_lansing.opendata.arcgis.com/datasets/a868967f0f1b427db8575e391ce5f74c_0/about,https://services1.arcgis.com/pNPbgWy7hpfFGWoZ/arcgis/rest/services/OfficerInvolvedShooting/FeatureServer/0,
Backup put on GitHub,Colorado,Denver,Denver,Denver Police Department,OFFICER_INVOLVED SHOOTINGS,2015-01-09,2022-11-28,MULTIPLE,Data removed when data website updated,07/01/24,2024-07-28,,07/04/24,Link on data site,https://www.denvergov.org/opendata/dataset/city_and_county_of_denver_denver_police_officer_involved_shootings,https://www.denvergov.org/media/gis/DataCatalog/denver_police_officer_involved_shootings/csv/denver_police_officer_involved_shootings.csv,
Deleted from OPD 08/17/2024,Colorado,Denver,Denver,Denver Police Department,STOPS,2010-12-31,2024-05-09,MULTIPLE,Data removed when data website updated,07/01/24,2024-07-28,,07/04/24,Link on data site,https://www.denvergov.org/opendata/dataset/city_and_county_of_denver_police_pedestrian_stops_and_vehicle_stops,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_CRIME_STOPS_P/FeatureServer/32,
Backup put on GitHub,Texas,Austin,Austin,Austin Police Department,OFFICER_INVOLVED SHOOTINGS - INCIDENTS,2008-11-06,2017-12-17,MULTIPLE, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/Officer_Involved_Shootings_2008_17_Incidents/uzqv_9uza,data.austintexas.gov,uzqv_9uza
Backup put on GitHub,Texas,Austin,Austin,Austin Police Department,OFFICER_INVOLVED SHOOTINGS - OFFICERS,2008-11-06,2017-12-17,MULTIPLE, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/Officer_Involved_Shootings_2008_17_Officers/8mvp_v9jz,data.austintexas.gov,8mvp_v9jz
Backup put on GitHub,Texas,Austin,Austin,Austin Police Department,OFFICER_INVOLVED SHOOTINGS - SUBJECTS,2008-11-06,2017-12-17,MULTIPLE, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2008_17_OIS_Subjects/u2k2_n8ez,data.austintexas.gov,u2k2_n8ez
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,PEDESTRIAN ARRESTS,2017-03-16,2019-12-31,MULTIPLE, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2017_2019_Non_Motor_Vehicle_Stops_Arrests/qpbg_wcus,data.austintexas.gov,qpbg_wcus
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,PEDESTRIAN CITATIONS,2017-04-04,2019-12-31,MULTIPLE, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2017_2019_Non_Motor_Vehicle_Stops_Citations/9uzk_fyxx,data.austintexas.gov,9uzk_fyxx
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,PEDESTRIAN WARNINGS,2017-01-01,2019-12-31,MULTIPLE, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2017_2019_Non_Motor_Vehicle_Stops_Warnings/sykw_k45z,data.austintexas.gov,sykw_k45z
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC ARRESTS,2014-01-01,2014-12-31,2014, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2014_Racial_Profiling_Arrests/fk9e_2udt,data.austintexas.gov,fk9e_2udt
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC ARRESTS,2015-01-01,2015-12-31,2015, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2015_Racial_Profiling_Arrests/nbjz_52e4,data.austintexas.gov,nbjz_52e4
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC ARRESTS,2016-01-01,2016-12-31,2016, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2016_RP_Arrests/bmz9_cdnt,data.austintexas.gov,bmz9_cdnt
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC ARRESTS,2017-01-01,2017-12-31,2017, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2017_Racial_Profiling_Arrests/x4p3_hj3y,data.austintexas.gov,x4p3_hj3y
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC ARRESTS,2018-01-01,2018-12-31,2018, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2018_RP_Arrests/xfke_9bsj,data.austintexas.gov,xfke_9bsj
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC ARRESTS,2019-01-01,2019-12-31,2019, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2019_Racial_Profiling_RP_Arrests/m4cc_q8pr,data.austintexas.gov,m4cc_q8pr
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC CITATIONS,2014-01-01,2014-12-31,2014, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/2014_Racial_Profiling_Dataset_Citations/mw6q_k5gy,data.austintexas.gov,mw6q_k5gy
Deleted from OPD 07/29/2024,Texas,Austin,Austin,Austin Police Department,TRAFFIC CITATIONS,2015-01-01,2015-12-31,2015, '404 Client Error: Not Found',2024-07-28,2024-07-28,,,,https://data.austintexas.gov/Public_Safety/Racial_Profiling_Dataset_2015_Citations/sc6h_qr9f,data.austintexas.gov,sc6h_qr9f
